Sl.No.,Symbol,Id
365,TBOTEK,139308548
366,TECHNOE,138788100
367,TEJASNET,138392324
368,THERMAX,128105220
369,TIINDIA,138435076
370,TIMKEN,133660932
371,TITAGARH,136439300
372,TORNTPOWER,136391428
373,TRIDENT,133392388
374,TRITURBINE,136615684
375,TRIVENI,136283140
376,TTML,136286980
377,TV18BRDCST,136396804
378,TVSSCS,139255044
379,UBL,136314372
380,UCOBANK,136321284
381,UJJIVANSFB,138983428
382,UNOMINDA,136329988
383,UPL,131089924
384,USHAMART,132389380
385,UTIAMC,139068932
386,VARROC,138643972
387,VGUARD,136435972
388,VIJAYA,139097604
389,VINATIORGA,134195204
390,VIPIND,130017284
391,VOLTAS,128147204
392,VTL,128764420
393,WELCORP,136228868
394,WELSPUNLIV,131625476
395,WESTLIFE,129416452
396,WHIRLPOOL,128060932
397,YESBANK,136357892
398,ZEEL,129417476
399,ZENSARTECH,129041156
400,ZFCVINDIA,136453892
